ACSSF,2018e5,ca,000,0005,0000048,2135413,1007600,1127813,962717,18937,7387,866,77616,1862,21582,6504,7941,1481,36959,1287,20119,2798,609,848,5491,3805,86,5892,24,402,164,40171,9517,6362,124,24168,2135413,1007600,623262,168864,7409,145652,6037,4085,52291,2877,49414,1127813,681785,9540,10485,4185,469,372523,48826,25934,22892,2135413,1007600,1127813
ACSSF,2018e5,ca,000,0005,0000049,3302833,2195908,1106925,988555,23192,6792,2406,30555,1740,10431,3072,2905,2428,9598,381,23025,3497,749,1745,6772,2311,92,5791,455,1427,186,32400,12885,8353,149,11013,3302833,2195908,1515380,155536,12282,382336,12811,6366,111197,2492,108705,1106925,820067,10876,8698,8082,1092,198941,59169,26554,32615,3302833,2195908,1106925
ACSSF,2018e5,ca,000,0005,0000050,870044,737393,132651,67949,4870,2423,312,35948,790,7403,2209,9193,325,15783,245,10729,1481,300,789,2109,917,90,4179,70,713,81,10420,4208,2209,15,3988,870044,737393,353670,43619,1363,294846,2694,4163,37038,1510,35528,132651,52868,1783,1383,2821,217,63261,10318,5541,4777,870044,737393,132651
ACSSF,2018e5,ca,000,0005,0000051,732212,430956,301256,270790,4890,829,126,9868,283,2417,230,2269,240,4406,23,3171,206,46,552,839,277,0,1171,67,13,0,11582,3387,4188,0,4007,732212,430956,237887,49926,1536,110164,3959,1069,26415,1335,25080,301256,174071,2097,3189,2833,504,70291,48271,7636,40635,732212,430956,301256
ACSSF,2018e5,ca,000,0005,0000052,281455,218453,63002,53377,1216,415,118,1835,129,833,172,221,59,405,16,1016,256,16,70,285,104,0,166,73,8,38,5025,1562,1735,0,1728,281455,218453,194574,4912,1363,9924,258,244,7178,223,6955,63002,47504,353,537,310,0,11337,2961,1382,1579,281455,218453,63002
ACSSF,2018e5,ca,000,0005,0000053,765935,576933,189002,115053,4089,1809,282,46307,624,12501,1184,10027,484,21145,342,11296,1330,651,962,1636,560,31,5625,54,303,144,10166,3836,1915,58,4357,765935,576933,303047,16838,1151,212474,10272,2476,30675,1633,29042,189002,87977,1011,1771,2863,232,83098,12050,5812,6238,765935,576933,189002
ACSSF,2018e5,ca,000,0005,0000054,443738,243678,200060,183557,1593,525,52,5086,225,1739,539,195,77,2299,12,3477,642,173,607,843,216,61,786,25,54,70,5770,1810,1105,49,2806,443738,243678,199356,7881,1407,22996,482,604,10952,192,10760,200060,144670,745,2982,867,332,41420,9044,3863,5181,443738,243678,200060
ACSSF,2018e5,ca,000,0005,0000055,1922200,1426745,495455,415406,9891,2744,845,29139,761,5964,3636,4388,505,13789,96,15845,2428,665,1707,3566,718,106,5225,217,1092,121,21585,9284,4200,0,8101,1922200,1426745,615912,45379,3003,685265,6231,4743,66212,3738,62474,495455,249548,2679,6300,3911,1310,201254,30453,15347,15106,1922200,1426745,495455
ACSSF,2018e5,ca,000,0005,0000056,273765,182089,91676,81122,908,226,218,3591,81,576,75,326,37,2479,17,1445,393,29,71,286,81,26,263,32,121,143,4166,1691,979,8,1488,273765,182089,157540,2359,360,12116,168,554,8992,141,8851,91676,50936,237,1015,485,148,34992,3863,2217,1646,273765,182089,91676
ACSSF,2018e5,ca,000,0005,0000057,179085,161480,17605,13316,610,154,13,696,78,101,79,37,41,360,0,497,30,50,12,138,0,9,167,0,91,0,2319,1112,712,23,472,179085,161480,143575,2140,4014,5326,182,151,6092,229,5863,17605,12265,69,690,101,9,3264,1207,681,526,179085,161480,17605
ACSSF,2018e5,ca,000,0005,0000058,2930,2606,324,264,1,0,0,47,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,2930,2606,2567,6,25,0,0,0,8,0,8,324,323,0,0,0,0,0,1,0,1,2930,2606,324
ACSSF,2018e5,ca,000,0005,0000059,43540,38204,5336,4463,115,50,1,153,11,40,1,3,1,97,0,112,40,0,31,6,0,0,33,2,0,0,442,188,159,0,95,43540,38204,33390,619,1283,671,120,33,2088,26,2062,5336,3581,13,186,7,29,686,834,242,592,43540,38204,5336
ACSSF,2018e5,ca,000,0005,0000060,438530,324124,114406,88500,5309,1164,216,10198,210,1701,271,1556,510,5773,177,2861,287,203,205,695,235,9,1061,12,154,0,6158,2483,1336,32,2307,438530,324124,168870,59500,1258,65994,3928,1288,23286,656,22630,114406,62279,2326,856,1819,185,38664,8277,3826,4451,438530,324124,114406
