"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1600000US0639045","La Crescenta-Montrose CDP, California","19500","1095"
"1600000US0669000","Santa Ana city, California","333499","102"
"1600000US0612594","Chalfant CDP, California","999","395"
"1600000US0639483","Lake Davis CDP, California","65","60"
"1600000US0616532","Costa Mesa city, California","113198","59"
"1600000US0672646","Sonoma city, California","11074","23"
"1600000US0646702","Meiners Oaks CDP, California","3508","676"
"1600000US0639108","Ladera Heights CDP, California","7090","745"
"1600000US0624834","Foresthill CDP, California","1546","527"
"1600000US0678456","Thermal CDP, California","1359","546"
"1600000US0681778","Valley Ford CDP, California","148","191"
"1600000US0637512","Johnsville CDP, California","0","12"
"1600000US0634316","Homeland CDP, California","7326","842"
"1600000US0647430","Midway City CDP, California","8374","779"
"1600000US0624477","Florence-Graham CDP, California","64162","1642"
"1600000US0604758","Beaumont city, California","45403","103"
"1600000US0685922","Windsor town, California","27506","39"
"1600000US0683612","Waterford city, California","8823","28"
"1600000US0674144","Stevinson CDP, California","331","125"
"1600000US0634694","Hornbrook CDP, California","215","58"
"1600000US0668000","San Jose city, California","1026658","135"
"1600000US0619990","Duarte city, California","21713","54"
"1600000US0671778","Sierra City CDP, California","152","69"
"1600000US0613014","Chico city, California","91998","104"
"1600000US0626000","Fremont city, California","233083","95"
"1600000US0678596","Thousand Palms CDP, California","7814","944"
"1600000US0657302","Pi�on Hills CDP, California","7592","908"
"1600000US0607379","Bonadelle Ranchos-Madera Ranchos CDP, California","8971","695"
"1600000US0655856","Parlier city, California","15120","20"
"1600000US0607624","Bostonia CDP, California","17530","1365"
"1600000US0655604","Paradise Park CDP, California","543","220"
"1600000US0617232","Creston CDP, California","30","52"
"1600000US0670182","Santa Ynez CDP, California","4401","526"
"1600000US0685880","Wilton CDP, California","5307","508"
"1600000US0619402","Dixon city, California","19759","38"
"1600000US0617750","Cypress city, California","48955","62"
"1600000US0603162","Atwater city, California","29197","31"
"1600000US0660592","Richfield CDP, California","272","110"
"1600000US0670028","Santa Nella CDP, California","2508","488"
"1600000US0602910","Artois CDP, California","292","129"
"1600000US0638702","Klamath CDP, California","617","117"
"1600000US0671834","Sierra Village CDP, California","330","236"
"1600000US0634904","Hughson city, California","7370","30"
"1600000US0668378","San Ramon city, California","75384","74"
"1600000US0668263","San Miguel CDP (Contra Costa County), California","2993","389"
"1600000US0684004","Weott CDP, California","271","182"
"1600000US0607596","Borrego Springs CDP, California","2252","605"
"1600000US0633084","Heber CDP, California","4686","931"
"1600000US0619976","Drytown CDP, California","20","24"
"1600000US0640116","Lanare CDP, California","234","208"
"1600000US0648998","Montgomery Creek CDP, California","61","38"
"1600000US0614764","Coloma CDP, California","673","326"
"1600000US0646436","Mayflower Village CDP, California","5822","350"
"1600000US0622587","Emerald Lake Hills CDP, California","4594","427"
"1600000US0670140","Santa Susana CDP, California","1050","243"
"1600000US0671932","Silver City CDP, California","0","12"
"1600000US0659500","Rancho Mirage city, California","18075","56"
"1600000US0640704","Lathrop city, California","21393","43"
"1600000US0653196","Oakville CDP, California","188","213"
